label	size
GeneExpression (aliquot) Aliquot	24165
TranscriptExpression (aliquot) Aliquot	12477
CopyNumberAlteration (aliquot) Aliquot	10845
DrugResponse (aliquot) Aliquot	641610
SomaticCallset (aliquots) Aliquot	23135
Sample (aliquots) Aliquot	853494
Gene (alleles) Allele	4023738
G2PAssociation (alleles) Allele	120150
SomaticCallset (alleles) Allele	4798168
Sample (case) Case	79239
Compound (cases) Case	21904
Project (cases) Case	37861
Phenotype (cases) Case	3447
GeneOntologyTerm (child_terms) GeneOntologyTerm	76984
GeneOntologyTerm (genes) Gene	276692
G2PAssociation (genes) Gene	101129
Gene (gene_ontology_terms) GeneOntologyTerm	264730
PfamFamily (gene_ontology_terms) GeneOntologyTerm	10458
Case (compounds) Compound	21904
Project (compounds) Compound	25443
DrugResponse (compounds) Compound	641610
G2PAssociation (compounds) Compound	80637
Aliquot (copy_number_alterations) CopyNumberAlteration	10845
Aliquot (drug_response) DrugResponse	641610
Compound (drug_responses) DrugResponse	641610
Gene (transcripts) Transcript	214804
Exon (transcripts) Transcript	1304705
Transcript (gene) Gene	214804
Allele (gene) Gene	4023738
Transcript (exons) Exon	1304705
Compound (g2p_associations) G2PAssociation	80637
Allele (g2p_associations) G2PAssociation	1154847
Gene (g2p_associations) G2PAssociation	101113
GenomicFeature (g2p_associations) G2PAssociation	64439
Publication (g2p_associations) G2PAssociation	31538
Phenotype (g2p_associations) G2PAssociation	970242
Aliquot (gene_expressions) GeneExpression	24165
G2PAssociation (genomic_features) GenomicFeature	64439
GeneOntologyTerm (parent_terms) GeneOntologyTerm	76984
PfamFamily (pfam_clans) PfamClan	7001
GeneOntologyTerm (pfam_families) PfamFamily	10433
PfamClan (pfam_families) PfamFamily	7001
Protein (pfam_families) PfamFamily	87581
Case (phenotypes) Phenotype	3447
G2PAssociation (phenotypes) Phenotype	970242
Project (programs) Program	176
Case (projects) Project	37861
Program (projects) Project	176
Compound (projects) Project	25443
Transcript (protein) Protein	94446
ProteinStructure (protein) Protein	138232
Protein (protein_structures) ProteinStructure	118852
PfamFamily (proteins) Protein	108694
G2PAssociation (publications) Publication	31538
Case (same_as) Case	3662
Aliquot (sample) Sample	853494
Case (samples) Sample	79239
Aliquot (somatic_callsets) SomaticCallset	23133
Allele (somatic_callsets) SomaticCallset	4798170
Protein (transcript) Transcript	94575
Aliquot (transcript_expressions) TranscriptExpression	12477
